time,gfx,gFy,gFz,wx,wy,wz,I,mode
0.1,-0.2778167724609375,4.495361328125,4.939910888671875,-0.5158538818359375,0.2332305908203125,0.2791748046875,256.2767333984375,texting
0.12,-0.2263641357421875,4.579376220703125,5.0858917236328125,-0.5158538818359375,0.2332305908203125,0.2791748046875,256.2767333984375,texting
0.14,-0.0670623779296875,4.6057891845703125,5.252410888671875,-0.5158538818359375,0.2332305908203125,0.2791748046875,256.2767333984375,texting
0.16,0.413238525390625,4.6620330810546875,5.3720245361328125,-0.5158538818359375,0.2332305908203125,0.2791748046875,256.2767333984375,texting
0.18,0.6881256103515625,4.6007080078125,5.4632568359375,-0.5158538818359375,0.2332305908203125,0.2791748046875,256.2767333984375,texting
0.2,0.9609222412109375,4.7158050537109375,5.9242401123046875,-0.5158538818359375,0.2332305908203125,0.2791748046875,256.2767333984375,texting
0.22,1.1548309326171875,4.8013458251953125,6.662750244140625,0.2295989990234375,0.1093597412109375,0.2573089599609375,256.2767333984375,texting
0.24,1.4358062744140625,4.853424072265625,7.76995849609375,0.2295989990234375,0.1093597412109375,0.2573089599609375,48.7666015625,texting
0.26,1.7836456298828125,5.1233367919921875,7.789459228515625,0.2295989990234375,0.1093597412109375,0.2573089599609375,48.7666015625,texting
0.28,1.7836456298828125,5.1233367919921875,7.789459228515625,0.2295989990234375,0.1093597412109375,0.2573089599609375,48.7666015625,texting
0.3,2.2353973388671875,5.72100830078125,7.62158203125,0.2295989990234375,0.1093597412109375,0.2573089599609375,28.22247314453125,texting
0.32,2.1116485595703125,6.1056671142578125,7.763885498046875,0.2295989990234375,0.1093597412109375,0.2573089599609375,28.22247314453125,texting
0.34,1.540802001953125,6.2911376953125,8.254989624023438,0.2295989990234375,0.1093597412109375,0.2573089599609375,28.22247314453125,texting
0.36,0.71600341796875,6.31646728515625,9.171142578125,0.2295989990234375,0.1093597412109375,0.2573089599609375,28.22247314453125,texting
0.38,0.3686065673828125,6.5407562255859375,9.729446411132812,0.2295989990234375,0.1093597412109375,0.2573089599609375,28.22247314453125,texting
0.4,0.8783111572265625,6.8086395263671875,9.323623657226562,-0.14520263671875,-0.2506866455078125,-0.1075439453125,28.931106567382812,texting
0.42,1.2977447509765625,6.7046356201171875,8.886337280273438,-0.14520263671875,-0.2506866455078125,-0.1075439453125,28.931106567382812,texting
0.44,0.93438720703125,6.262664794921875,10.677276611328125,-0.14520263671875,-0.2506866455078125,-0.1075439453125,28.931106567382812,texting
0.46,0.646484375,5.75152587890625,12.870956420898438,-0.14520263671875,-0.2506866455078125,-0.1075439453125,28.931106567382812,texting
0.48,0.7923583984375,5.631805419921875,12.416305541992188,-0.14520263671875,-0.2506866455078125,-0.1075439453125,28.931106567382812,texting
0.5,0.486114501953125,5.163604736328125,9.26416015625,-0.14520263671875,-0.2506866455078125,-0.1075439453125,31.749465942382812,texting
0.52,-0.090362548828125,5.6110076904296875,6.5816650390625,-0.14520263671875,-0.2506866455078125,-0.1075439453125,31.749465942382812,texting
0.54,0.20697021484375,4.9558868408203125,9.008087158203125,-0.14520263671875,-0.2506866455078125,-0.1075439453125,31.749465942382812,texting
0.56,0.476165771484375,4.5142364501953125,9.028793334960938,-0.037200927734375,-0.1702117919921875,-0.5829010009765625,47.75306701660156,texting
0.58,0.4621124267578125,4.0202178955078125,7.180877685546875,-0.037200927734375,-0.1702117919921875,-0.5829010009765625,47.75306701660156,texting
0.6,0.07861328125,4.1535797119140625,5.8634185791015625,-0.037200927734375,-0.1702117919921875,-0.5829010009765625,47.75306701660156,texting
0.62,-0.0753021240234375,4.1636962890625,5.532501220703125,-0.037200927734375,-0.1702117919921875,-0.5829010009765625,60.16119384765625,texting
0.64,0.112701416015625,4.2129364013671875,5.887237548828125,-0.037200927734375,-0.1702117919921875,-0.5829010009765625,60.16119384765625,texting
